zip_code,demtotal,goptotal,winner,advantage,city,state,zipname,num_returns,total_agi_value,avg_agi,avg_agi_rank
77024,46985.68,211689.99,R,164704.31,Houston,TX,"77024 (Houston, TX)",15460,5137264,332293.91979301424,140
30327,125623.41,281102.91,R,155479.49999999997,Atlanta,GA,"30327 (Atlanta, GA)",10510,4733434,450374.3101807802,73
33480,85272.84,225216.09,R,139943.25,Palm Beach,FL,"33480 (Palm Beach, FL)",5200,5537180,1064842.3076923077,4
75225,35406.69,138882.83,R,103476.13999999998,Dallas,TX,"75225 (Dallas, TX)",10570,4967495,469961.6840113529,64
30305,116584.68,215917.78,R,99333.1,Atlanta,GA,"30305 (Atlanta, GA)",13130,3458572,263409.900990099,238
32963,22787.86,119968.7,R,97180.84,Vero Beach,FL,"32963 (Vero Beach, FL)",7500,3059366,407915.4666666667,91
92660,23820.15,113939.31,R,90119.16,Newport Beach,CA,"92660 (Newport Beach, CA)",17400,4839377,278125.1149425287,214
30339,41950.15,128826.54,R,86876.38999999998,Atlanta,GA,"30339 (Atlanta, GA)",15930,1821089,114318.20464532329,1582
30004,37804.86,115206.83,R,77401.97,Alpharetta,GA,"30004 (Alpharetta, GA)",27440,3740649,136321.027696793,1049
34102,5756.01,77681.89,R,71925.88,Naples,FL,"34102 (Naples, FL)",4870,2788487,572584.5995893223,32
30342,55279.68,122445.81,R,67166.13,Atlanta,GA,"30342 (Atlanta, GA)",14240,2500942,175627.94943820225,599
33408,10134.72,76482.24,R,66347.52,North Palm Beach,FL,"33408 (North Palm Beach, FL)",9580,1818333,189805.11482254698,486
92067,33205.84,98992.7,R,65786.86,Rancho Santa Fe,CA,"92067 (Rancho Santa Fe, CA)",5680,3162180,556721.8309859155,34
33143,18106.24,78956.73,R,60850.48999999999,Miami,FL,"33143 (Miami, FL)",13500,1823429,135068.81481481483,1074
85253,53037.56,112250.19,R,59212.630000000005,Paradise Valley,AZ,"85253 (Paradise Valley, AZ)",8080,3752220,464383.6633663366,68
